ID,Call Duration,Call Frequency,Financial Loss,Flagged by Carrier,Is International,Previous Contact Count,Country Prefix,Call Type,Timestamp,Device Battery,Scam Call
428774,-37,15,414.61,Very Suspicious,No,1,65,Voip,2023-12-10 21:46:00,Not Charging,Scam
296584,-326,3,562.81,Suspicious,Yes,3,7,Landline,2023-04-17 11:06:00,Charging,Scam
161853,-541,6,0,Unlikely,Yes,0,44,Whats App,2023-01-28 10:27:00,Charging,Scam
515170,43,18,,Unlikely,Yes,2,7,Landline,2023-01-03 10:07:00,Charging,Not Scam
832431,-26,6,496.82,Suspicious,Yes,0,MM,Landline,2023-07-17 10:54:00,Not Charging,Scam
425175,140,6,0,Unlikely,Yes,0,91,Telegram,2023-07-05 2:22:00,Charging,Not Scam
475788,28,4,-633.99,Very Suspicious,Yes,1,1,Mobile,2023-04-07 21:45:00,Charging,Scam
909445,32,9,624.6,Suspicious,Yes,4,65,Voip,2023-02-11 21:57:00,Fully Charged,Scam
802259,113,18,,Very Suspicious,Yes,7,1,Mobile,2023-10-02 13:12:00,Fully Charged,Not Scam
496033,116,15,,Unlikely,Yes,4,7,Voip,2023-05-03 14:32:00,Fully Charged,Not Scam
730960,621,3,11.74,Suspicious,Yes,0,MM,Landline,2023-08-04 0:16:00,Fully Charged,Scam
806410,-27,4,102.45,Suspicious,Yes,0,MM,Voip,2024-03-22 1:31:00,Not Charging,Scam
481032,-127,9,,Unlikely,Yes,0,1,Landline,2023-07-11 17:04:00,Charging,Not Scam
507774,505,4,0,Unlikely,Yes,5,44,Telegram,2024-02-13 0:33:00,Charging,Not Scam
217243,233,7,0,Unlikely,Yes,0,91,Telegram,2023-08-06 7:21:00,Fully Charged,Scam
708875,-151,9,0,Unlikely,Yes,0,91,Mobile,2023-02-05 3:58:00,Fully Charged,Not Scam
724051,584,9,,Unlikely,Yes,1,1,Mobile,2023-04-24 11:05:00,Fully Charged,Not Scam
350034,-54,23,0,Unlikely,Yes,3,44,Telegram,2023-09-08 13:19:00,Charging,Not Scam
582955,674,19,0,Unlikely,Yes,1,91,Voip,2023-07-31 6:58:00,Not Charging,Not Scam
769898,26,7,0,Unlikely,Yes,5,91,Voip,2023-11-25 19:23:00,Charging,Scam
788272,-130,22,0,Unlikely,No,1,65,Whats App,2023-07-02 11:39:00,Fully Charged,Scam
618080,-268,20,0,Unlikely,Yes,1,1,WhatsApp,2023-09-02 23:58:00,Not Charging,Scam
886210,-24,21,0,Unlikely,Yes,2,44,Voip,2023-02-07 6:29:00,Not Charging,Scam
514624,-336,13,94.65840802,Suspicious,Yes,5,1,Mobile,2023-01-02 5:41:00,Fully Charged,Not Scam
668794,150,20,0,Unlikely,Yes,5,44,Telegram,2023-01-06 21:37:00,Not Charging,Not Scam
602853,52,23,21.19013383,Unlikely,Yes,2,1,Voip,2023-06-07 12:41:00,Fully Charged,Not Scam
194429,46,9,18.18466751,Unlikely,Yes,3,1,Whats App,2024-03-01 18:25:00,Not Charging,Not Scam
907027,338,4,0,Unlikely,Yes,0,MM,Mobile,2023-01-20 4:31:00,Fully Charged,Scam
486007,277,3,,Unlikely,No,4,65,Mobile,2024-02-08 6:07:00,Charging,Not Scam
341616,341,15,0,Unlikely,Yes,0,1,WhatsApp,2023-06-12 5:28:00,Fully Charged,Not Scam
380900,-34,6,0,Unlikely,Yes,0,95,WhatsApp,2023-03-30 3:56:00,Charging,Not Scam
792848,297,15,20.95,Suspicious,Yes,0,MM,Voip,2023-11-06 0:03:00,Not Charging,Scam
351352,633,23,0,Suspicious,Yes,1,1,Voip,2023-05-07 14:53:00,Charging,Scam
501684,43,10,0,Suspicious,Yes,0,44,Voip,2023-10-23 21:40:00,Not Charging,Not Scam
663713,-30,14,0,Unlikely,Yes,0,MM,Telegram,2023-01-26 6:43:00,Charging,Scam
929808,117,4,0,Unlikely,Yes,4,91,Whats App,2024-02-23 4:39:00,Fully Charged,Scam
373353,339,9,0,Unlikely,Yes,0,1,Telegram,2023-05-22 15:35:00,Fully Charged,Not Scam
907049,654,22,0,Unlikely,Yes,2,91,Whats App,2023-08-26 0:46:00,Charging,Scam
536808,112,3,774.91,Unlikely,Yes,0,44,Landline,2023-04-02 10:05:00,Not Charging,Scam
441679,533,20,0,Unlikely,Yes,0,91,Telegram,2023-02-16 3:43:00,Charging,Scam
489770,305,3,147.02,Unlikely,Yes,1,91,Voip,2024-03-07 1:31:00,Charging,Scam
308732,112,7,610.89,Very Suspicious,Yes,4,7,Mobile,2023-07-20 11:37:00,Charging,Scam
513966,-579,3,35.39,Unlikely,Yes,4,7,WhatsApp,2023-04-24 6:15:00,Not Charging,Scam
687185,145,6,228.19,Very Suspicious,Yes,0,1,Telegram,2024-03-28 21:47:00,Charging,Scam
173635,-30,9,0,Unlikely,No,0,65,Voip,2024-02-25 10:02:00,Fully Charged,Not Scam
274974,-299,2,0,Unlikely,Yes,0,95,Whats App,2023-05-01 20:16:00,Charging,Scam
409095,117,19,0,Unlikely,No,2,65,Voip,2023-06-23 17:11:00,Charging,Not Scam
899371,-47,6,39.92238426,Unlikely,Yes,0,44,Whats App,2023-10-14 1:43:00,Charging,Not Scam
489503,569,15,67.72934207,Unlikely,Yes,4,95,Telegram,2023-12-27 9:49:00,Fully Charged,Not Scam
758145,35,10,109.08,Unlikely,Yes,2,44,Whats App,2023-06-14 16:21:00,Not Charging,Scam
764080,-42,10,0,Unlikely,Yes,1,1,Voip,2023-05-09 5:50:00,Fully Charged,Scam
964913,-120,10,,Very Suspicious,Yes,4,95,Telegram,2024-02-15 22:13:00,Charging,Not Scam
558882,352,7,0,Unlikely,Yes,2,44,Mobile,2023-05-13 19:09:00,Fully Charged,Not Scam
878935,45,3,-37.25,Suspicious,Yes,0,7,Whats App,2023-09-22 5:03:00,Fully Charged,Scam
436846,-331,21,85.6761147,Unlikely,Yes,1,95,Voip,2024-03-06 15:02:00,Charging,Scam
576385,-25,23,55.67071243,Unlikely,Yes,3,95,Whats App,2023-08-24 21:41:00,Charging,Scam
918452,-43,22,110.3,Unlikely,Yes,1,MM,Telegram,2023-11-22 22:35:00,Fully Charged,Scam
257344,40,7,368.24,Very Suspicious,Yes,2,1,Voip,2024-03-15 10:04:00,Not Charging,Scam
419656,618,8,0,Suspicious,Yes,4,91,Telegram,2023-02-27 1:12:00,Fully Charged,Not Scam
861382,-574,9,8.926931156,Unlikely,Yes,2,65,Mobile,2024-02-09 11:46:00,Charging,Not Scam
658827,48,7,0,Unlikely,Yes,4,91,WhatsApp,2023-12-23 21:53:00,Not Charging,Not Scam
644499,-130,9,147.14,Very Suspicious,Yes,1,7,Mobile,2023-08-07 22:37:00,Charging,Scam
975660,47,10,266.05,Suspicious,Yes,5,MM,Mobile,2023-11-01 13:02:00,Fully Charged,Scam
146725,304,15,70.91917154,Unlikely,Yes,1,1,Landline,2023-08-09 9:42:00,Not Charging,Not Scam
189581,103,3,12.78,Unlikely,Yes,1,MM,WhatsApp,2024-01-28 4:33:00,Fully Charged,Scam
748671,638,6,37.3723029,Unlikely,Yes,4,95,Voip,2023-05-18 12:38:00,Fully Charged,Not Scam
601493,111,3,0,Unlikely,Yes,4,1,Mobile,2023-09-14 4:32:00,Not Charging,Not Scam
585873,-40,11,0,Unlikely,Yes,1,95,Whats App,2024-02-09 21:46:00,Charging,Not Scam
547413,119,11,13.63,Unlikely,Yes,0,95,Whats App,2024-01-16 17:41:00,Fully Charged,Scam
184360,97,20,0,Unlikely,Yes,0,1,Landline,2023-06-13 14:38:00,Not Charging,Not Scam
222358,139,4,,Unlikely,No,4,65,Telegram,2023-03-13 15:21:00,Fully Charged,Not Scam
776942,31,4,0,Unlikely,Yes,0,91,Telegram,2023-11-30 23:43:00,Charging,Not Scam
672967,35,3,0,Unlikely,Yes,0,44,Whats App,2023-08-24 6:59:00,Charging,Not Scam
623274,32,10,47.72931858,Unlikely,Yes,3,91,Voip,2023-03-28 14:41:00,Fully Charged,Not Scam
360044,-664,23,45.89339775,Unlikely,Yes,2,1,Landline,2023-02-22 9:51:00,Not Charging,Not Scam
993358,30,22,0.656009375,Unlikely,Yes,4,7,Voip,2023-04-15 6:23:00,Charging,Not Scam
474890,-263,10,90.32756885,Unlikely,Yes,2,7,WhatsApp,2023-09-22 10:42:00,Charging,Not Scam
813407,-98,4,0,Suspicious,Yes,1,65,Whats App,2023-12-05 14:58:00,Not Charging,Not Scam
987469,605,18,0,Unlikely,Yes,3,7,Mobile,2023-11-06 1:32:00,Charging,Not Scam
744018,296,7,29.82,Unlikely,Yes,3,1,Whats App,2023-10-19 10:06:00,Not Charging,Scam
850817,262,3,49.29392574,Unlikely,Yes,1,91,Voip,2023-09-14 22:19:00,Charging,Not Scam
807914,28,15,0,Very Suspicious,Yes,0,91,Telegram,2023-07-13 15:02:00,Fully Charged,Not Scam
441420,526,20,26.13402191,Unlikely,Yes,0,91,Mobile,2023-04-21 18:48:00,Fully Charged,Not Scam
863646,41,23,301.49,Unlikely,Yes,0,91,Whats App,2023-09-10 9:06:00,Not Charging,Scam
252166,29,8,0,Unlikely,Yes,3,44,Voip,2023-10-26 15:01:00,Charging,Not Scam
266722,-104,4,-468.47,Suspicious,Yes,1,1,Voip,2023-05-03 14:54:00,Fully Charged,Scam
672858,-28,6,26.54238437,Unlikely,Yes,4,1,Mobile,2023-02-02 5:13:00,Charging,Not Scam
744887,49,10,21.56,Unlikely,Yes,0,65,Voip,2023-04-18 1:57:00,Charging,Scam
987574,-29,7,13.30665413,Unlikely,Yes,4,7,Whats App,2023-11-28 11:56:00,Not Charging,Not Scam
549455,-651,3,0,Unlikely,Yes,2,91,Whats App,2024-03-27 9:35:00,Not Charging,Scam
629412,-21,19,88.14667046,Unlikely,Yes,5,95,WhatsApp,2023-11-13 1:18:00,Not Charging,Not Scam
682073,132,13,4.206197032,Unlikely,Yes,2,44,Mobile,2023-09-28 20:49:00,Fully Charged,Not Scam
704971,33,13,,Very Suspicious,Yes,2,1,Mobile,2024-03-10 10:15:00,Charging,Not Scam
430971,-30,19,82.18,Unlikely,Yes,0,1,Voip,2023-03-18 18:30:00,Fully Charged,Scam
968624,123,6,381.35,Suspicious,Yes,2,MM,Telegram,2023-11-03 22:32:00,Fully Charged,Scam
460849,-308,18,0,Suspicious,Yes,3,44,Voip,2023-09-30 17:46:00,Not Charging,Not Scam
396285,608,15,0,Unlikely,Yes,3,7,Voip,2024-01-17 11:37:00,Fully Charged,Not Scam
742511,-44,20,731.64,Suspicious,Yes,3,7,Whats App,2024-02-10 21:09:00,Not Charging,Scam
310959,-144,3,12.27380561,Unlikely,Yes,2,95,Landline,2023-01-13 0:34:00,Charging,Not Scam
775114,112,3,90.40386752,Unlikely,Yes,3,44,Mobile,2023-10-05 16:48:00,Not Charging,Not Scam
704946,-264,6,57.14993914,Unlikely,Yes,6,7,Voip,2023-08-01 20:19:00,Fully Charged,Not Scam
384520,-311,10,0,Unlikely,Yes,2,91,Whats App,2023-05-23 6:43:00,Fully Charged,Not Scam
933788,298,13,0,Unlikely,Yes,2,95,Mobile,2024-03-06 14:12:00,Fully Charged,Not Scam
860742,30,18,47.03625506,Unlikely,Yes,2,95,Telegram,2023-02-11 13:44:00,Fully Charged,Not Scam
275189,-261,13,0,Unlikely,Yes,0,44,WhatsApp,2023-05-24 12:49:00,Not Charging,Scam
306161,-48,6,33.00638743,Unlikely,No,3,65,WhatsApp,2023-05-02 6:40:00,Fully Charged,Not Scam
379568,41,7,3.310276437,Very Suspicious,Yes,1,91,Mobile,2023-04-02 10:50:00,Fully Charged,Not Scam
760249,-43,6,,Unlikely,Yes,4,7,Voip,2023-08-06 8:05:00,Not Charging,Not Scam
776765,-267,17,0,Unlikely,Yes,0,91,Telegram,2023-02-19 23:12:00,Charging,Not Scam
925506,29,6,,Unlikely,Yes,3,44,Voip,2023-08-28 4:19:00,Fully Charged,Not Scam
488168,130,3,,Unlikely,Yes,0,1,WhatsApp,2023-12-09 17:20:00,Not Charging,Not Scam
462351,550,14,0,Unlikely,Yes,0,91,WhatsApp,2023-05-03 2:04:00,Charging,Not Scam
746536,569,4,722.68,Suspicious,No,3,65,WhatsApp,2023-10-25 10:37:00,Not Charging,Scam
559391,114,23,21.75693629,Unlikely,Yes,2,91,Whats App,2023-09-12 1:55:00,Charging,Scam
217787,-305,7,484.32,Very Suspicious,Yes,4,44,Mobile,2023-05-25 18:05:00,Not Charging,Scam
676598,269,11,,Unlikely,Yes,0,91,Mobile,2023-10-16 1:55:00,Fully Charged,Not Scam
938374,115,7,22.54687327,Unlikely,Yes,6,MM,Whats App,2024-02-20 20:25:00,Not Charging,Not Scam
435061,31,12,44.17297163,Unlikely,No,0,65,Landline,2023-08-05 14:05:00,Not Charging,Not Scam
244583,33,3,0,Unlikely,Yes,6,1,Whats App,2023-11-15 22:19:00,Charging,Not Scam
530647,132,9,71.05667851,Unlikely,Yes,3,95,WhatsApp,2023-05-21 20:44:00,Fully Charged,Not Scam
734453,-302,7,98.00632805,Unlikely,Yes,0,95,Whats App,2023-08-02 6:34:00,Charging,Not Scam
315698,341,4,0,Unlikely,Yes,2,65,Whats App,2023-11-09 13:52:00,Charging,Scam
378073,42,7,0,Unlikely,Yes,2,44,WhatsApp,2023-09-12 18:01:00,Fully Charged,Not Scam
968640,-122,17,0,Unlikely,Yes,2,65,Voip,2023-07-20 14:27:00,Not Charging,Not Scam
817738,33,20,40.05521071,Unlikely,Yes,0,1,Mobile,2023-09-16 16:18:00,Fully Charged,Not Scam
607008,28,9,0,Unlikely,Yes,3,91,Voip,2024-01-26 20:55:00,Not Charging,Scam
328193,-276,11,0,Unlikely,No,2,65,Whats App,2023-03-14 12:50:00,Charging,Not Scam
618690,-259,13,-8.653756274,Unlikely,Yes,1,1,WhatsApp,2023-07-19 12:41:00,Charging,Not Scam
502071,50,18,173.12,Unlikely,Yes,3,MM,Whats App,2023-08-18 17:19:00,Charging,Scam
183129,118,10,390.86,Suspicious,Yes,0,91,WhatsApp,2024-01-12 11:11:00,Charging,Scam
832293,47,3,75.99,Unlikely,Yes,0,91,WhatsApp,2023-03-06 9:38:00,Fully Charged,Scam
125840,-367,6,,Suspicious,Yes,1,7,Mobile,2023-10-17 16:37:00,Not Charging,Not Scam
782766,-33,7,0,Suspicious,Yes,4,MM,Telegram,2023-10-30 4:15:00,Fully Charged,Not Scam
157155,126,11,,Unlikely,Yes,5,44,Voip,2023-12-02 7:16:00,Fully Charged,Not Scam
980246,668,15,37.96633076,Unlikely,Yes,1,65,Mobile,2023-06-10 15:06:00,Not Charging,Not Scam
355604,-133,20,,Unlikely,Yes,3,MM,Mobile,2023-02-14 20:52:00,Charging,Not Scam
407941,29,9,29.94522124,Unlikely,Yes,6,65,Mobile,2023-11-20 3:54:00,Fully Charged,Not Scam
861395,42,20,0,Unlikely,Yes,0,95,Mobile,2023-09-13 2:56:00,Not Charging,Scam
212324,32,8,29.82,Unlikely,Yes,6,91,Voip,2024-03-08 23:10:00,Fully Charged,Scam
501447,38,6,0,Unlikely,Yes,1,1,Landline,2023-09-03 20:48:00,Fully Charged,Not Scam
349777,32,7,0,Unlikely,Yes,5,91,Mobile,2023-09-01 20:51:00,Charging,Not Scam
166888,499,4,-511.32,Very Suspicious,Yes,2,91,Telegram,2024-01-08 11:48:00,Not Charging,Scam
660763,-109,11,92.40619602,Unlikely,Yes,2,91,Telegram,2023-07-17 6:24:00,Not Charging,Not Scam
761987,118,10,66.38289173,Unlikely,Yes,1,1,Mobile,2023-10-03 18:05:00,Charging,Not Scam
414022,49,21,39.72,Suspicious,Yes,1,44,Voip,2023-04-17 6:51:00,Fully Charged,Scam
458943,616,9,0,Unlikely,Yes,0,MM,Whats App,2024-02-17 9:59:00,Fully Charged,Scam
144854,-29,12,0,Unlikely,Yes,5,MM,Mobile,2023-05-20 15:01:00,Fully Charged,Not Scam
163017,285,15,,Unlikely,Yes,2,7,Whats App,2023-08-28 19:49:00,Fully Charged,Not Scam
166433,-125,16,0,Unlikely,Yes,2,95,Voip,2023-03-11 16:45:00,Not Charging,Scam
424251,336,21,92.10913203,Unlikely,Yes,3,1,Mobile,2023-05-16 21:00:00,Fully Charged,Not Scam
393338,-328,16,0,Unlikely,Yes,1,1,Whats App,2024-01-15 6:03:00,Not Charging,Not Scam
452975,43,3,0,Unlikely,Yes,5,7,Landline,2024-02-07 14:45:00,Not Charging,Not Scam
985082,-41,11,37.67937079,Suspicious,Yes,1,91,Mobile,2023-03-02 15:57:00,Not Charging,Not Scam
560709,47,19,44.92889209,Unlikely,Yes,5,65,Mobile,2023-04-28 19:26:00,Charging,Not Scam
693985,-99,4,63.8595601,Unlikely,Yes,1,65,Telegram,2023-12-30 9:54:00,Not Charging,Not Scam
791083,-119,4,,Unlikely,Yes,1,7,Landline,2023-10-11 9:34:00,Not Charging,Not Scam
568101,-573,23,0,Suspicious,Yes,6,1,Telegram,2024-01-22 19:48:00,Not Charging,Not Scam
482199,-113,20,24.60439798,Unlikely,No,0,65,Landline,2023-09-15 1:11:00,Not Charging,Not Scam
650671,-676,6,,Unlikely,Yes,1,7,Mobile,2023-07-29 6:03:00,Not Charging,Not Scam
866894,322,14,0,Unlikely,No,0,65,WhatsApp,2023-05-02 10:21:00,Not Charging,Not Scam
431523,-47,4,,Unlikely,Yes,4,1,Whats App,2023-08-17 8:53:00,Charging,Not Scam
192856,-343,12,0,Unlikely,Yes,2,1,Voip,2023-11-04 21:45:00,Charging,Not Scam
602318,-560,21,486.82,Suspicious,Yes,2,1,Landline,2023-08-03 22:24:00,Fully Charged,Scam
101266,-120,19,36.88102927,Unlikely,Yes,0,1,Telegram,2023-07-24 21:53:00,Not Charging,Not Scam
906169,274,22,0,Unlikely,Yes,0,7,Mobile,2023-09-07 14:11:00,Not Charging,Not Scam
278809,47,6,82.16572045,Unlikely,No,0,65,Landline,2023-11-03 14:21:00,Charging,Not Scam
702940,-314,6,20.32221758,Unlikely,Yes,0,7,Mobile,2023-10-01 13:28:00,Not Charging,Not Scam
438748,43,5,249.23,Unlikely,Yes,3,MM,Voip,2023-04-16 11:10:00,Fully Charged,Scam
771747,315,10,10.71,Suspicious,Yes,0,MM,Voip,2023-02-06 20:41:00,Fully Charged,Scam
364942,-35,15,0,Very Suspicious,Yes,0,44,WhatsApp,2023-01-05 21:59:00,Charging,Not Scam
354772,512,18,148.26,Unlikely,Yes,0,95,Voip,2023-09-04 4:13:00,Charging,Scam
433615,-272,17,0,Unlikely,Yes,0,95,Landline,2023-10-24 12:31:00,Fully Charged,Not Scam
543592,48,6,0,Very Suspicious,Yes,1,95,Voip,2024-01-19 8:29:00,Charging,Not Scam
586395,117,4,,Unlikely,Yes,0,91,Mobile,2024-01-21 12:27:00,Fully Charged,Not Scam
170089,-42,4,0,Unlikely,Yes,2,44,Voip,2023-05-17 20:18:00,Charging,Not Scam
494887,-480,8,87.28558063,Unlikely,Yes,0,MM,Landline,2024-03-24 11:01:00,Not Charging,Not Scam
431307,554,22,0,Unlikely,Yes,0,95,Mobile,2023-03-13 2:40:00,Fully Charged,Not Scam
141348,-604,3,48.52320341,Unlikely,Yes,1,44,Mobile,2024-02-24 1:08:00,Not Charging,Not Scam
349811,21,7,740.45,Very Suspicious,Yes,2,1,Voip,2023-06-16 22:45:00,Not Charging,Scam
702105,-298,6,0,Very Suspicious,Yes,0,95,Whats App,2023-10-07 1:15:00,Not Charging,Not Scam
996993,42,6,0,Unlikely,Yes,2,91,Mobile,2023-12-12 8:36:00,Charging,Not Scam
384965,47,16,,Unlikely,Yes,4,MM,Landline,2023-05-30 10:53:00,Charging,Not Scam
586056,568,8,,Unlikely,Yes,2,1,WhatsApp,2023-10-09 18:08:00,Charging,Not Scam
173317,-539,22,0,Unlikely,Yes,2,7,Mobile,2023-06-03 8:05:00,Fully Charged,Not Scam
389077,-38,22,240.93,Very Suspicious,Yes,1,MM,Telegram,2024-02-22 2:23:00,Not Charging,Scam
829386,115,3,-417.72,Suspicious,Yes,1,91,Voip,2023-11-22 11:49:00,Fully Charged,Scam
221388,-32,7,60.01991299,Unlikely,Yes,0,65,Mobile,2024-03-16 14:01:00,Not Charging,Not Scam
422678,120,7,,Unlikely,Yes,1,1,Voip,2023-03-13 2:16:00,Charging,Not Scam
525494,-46,8,0,Suspicious,Yes,0,95,WhatsApp,2023-09-08 0:00:00,Fully Charged,Scam
601678,-48,19,900.4,Unlikely,Yes,3,7,Whats App,2023-12-19 22:01:00,Fully Charged,Scam
536434,-246,8,,Very Suspicious,Yes,0,MM,Mobile,2024-01-14 15:34:00,Not Charging,Not Scam
635409,570,6,164.47,Unlikely,Yes,3,MM,Whats App,2023-08-01 12:31:00,Charging,Scam
381533,-270,4,77.40189635,Unlikely,Yes,5,95,Mobile,2023-04-17 3:59:00,Charging,Not Scam
209041,-40,9,391.26,Suspicious,Yes,2,44,WhatsApp,2023-10-27 5:59:00,Charging,Scam
594226,32,6,0,Unlikely,Yes,1,7,Voip,2023-05-07 14:54:00,Fully Charged,Not Scam
937884,-29,10,201.02,Unlikely,Yes,0,91,Voip,2023-09-06 8:07:00,Fully Charged,Scam
790811,629,18,308.55,Unlikely,Yes,4,MM,Voip,2023-06-20 23:29:00,Charging,Scam
763876,676,6,0,Unlikely,Yes,4,65,Voip,2023-09-03 16:55:00,Charging,Not Scam
443539,-601,15,0,Suspicious,Yes,2,95,Voip,2023-07-09 14:23:00,Not Charging,Scam
719141,-318,18,73.67,Unlikely,Yes,2,95,Mobile,2023-06-23 16:31:00,Not Charging,Scam
516950,-113,11,281.45,Unlikely,Yes,0,7,Landline,2024-02-26 11:55:00,Fully Charged,Scam
378994,-119,15,6.09930655,Unlikely,Yes,3,1,Landline,2024-03-20 2:14:00,Fully Charged,Not Scam
906094,-27,6,0,Unlikely,Yes,0,7,Voip,2023-06-27 12:26:00,Fully Charged,Not Scam
672763,-48,13,392.32,Unlikely,Yes,0,91,Whats App,2023-12-13 1:35:00,Charging,Scam
874363,-439,3,0,Unlikely,Yes,1,7,Landline,2023-05-30 6:42:00,Not Charging,Not Scam
505651,107,3,20.16803193,Unlikely,Yes,4,65,Mobile,2024-01-16 16:00:00,Charging,Not Scam
116613,-47,4,36.44,Unlikely,Yes,1,1,Voip,2023-09-21 12:07:00,Not Charging,Scam
106212,630,9,516.37,Suspicious,Yes,0,MM,Whats App,2023-06-08 9:06:00,Charging,Scam
682043,121,7,10.69,Unlikely,Yes,1,MM,Mobile,2023-11-05 17:17:00,Not Charging,Scam
464880,34,10,1.007698701,Suspicious,Yes,5,91,Landline,2023-10-23 21:06:00,Fully Charged,Not Scam
199051,-40,3,352.16,Suspicious,Yes,0,91,Landline,2023-02-10 0:17:00,Fully Charged,Scam
604315,-41,17,0,Unlikely,Yes,1,MM,Whats App,2023-07-29 0:57:00,Charging,Scam
384025,-132,13,0,Unlikely,Yes,2,7,WhatsApp,2023-08-09 9:41:00,Fully Charged,Scam
184590,119,23,,Very Suspicious,Yes,0,95,Landline,2023-12-04 11:58:00,Not Charging,Not Scam
698746,35,20,0,Unlikely,Yes,1,95,Landline,2023-12-27 6:42:00,Charging,Scam
368058,-131,4,2.214271435,Unlikely,Yes,3,44,Landline,2023-10-27 12:51:00,Charging,Not Scam
192750,-128,9,0,Unlikely,Yes,2,91,Landline,2023-05-26 14:31:00,Charging,Scam
379744,31,4,23.08056674,Unlikely,Yes,4,44,Landline,2023-09-11 5:46:00,Not Charging,Not Scam
415708,710,15,48.28709674,Unlikely,Yes,3,91,Voip,2023-04-23 6:12:00,Not Charging,Not Scam
753068,-46,15,422.75,Suspicious,Yes,0,44,WhatsApp,2023-08-17 11:19:00,Charging,Scam
257738,-113,22,0,Unlikely,Yes,3,95,Telegram,2023-05-01 23:50:00,Charging,Not Scam
492592,-543,4,0,Unlikely,Yes,0,95,Voip,2023-09-18 13:29:00,Charging,Scam
483775,650,2,111.13,Unlikely,Yes,0,7,Voip,2023-12-08 15:37:00,Charging,Scam
120339,-30,13,0,Unlikely,Yes,1,7,Mobile,2023-03-12 13:45:00,Charging,Not Scam
756210,-32,6,0,Unlikely,Yes,1,95,Voip,2024-01-18 23:31:00,Fully Charged,Scam
589161,307,11,30.44305005,Unlikely,No,2,65,Landline,2023-07-19 10:46:00,Not Charging,Not Scam
882484,126,12,72.34948833,Unlikely,No,0,65,Mobile,2023-10-01 17:26:00,Charging,Not Scam
119356,129,22,688.04,Suspicious,Yes,0,MM,Landline,2023-03-13 11:54:00,Fully Charged,Scam
467241,46,4,43.49784866,Unlikely,Yes,1,91,Mobile,2023-02-07 15:29:00,Charging,Not Scam
156863,353,4,94.82178811,Unlikely,Yes,0,91,Whats App,2023-07-31 17:25:00,Fully Charged,Not Scam
686819,125,8,-12.59153335,Unlikely,Yes,1,7,Telegram,2023-01-13 5:48:00,Charging,Not Scam
389929,-91,22,0,Unlikely,Yes,1,44,Voip,2024-02-09 19:47:00,Charging,Scam
681284,38,20,84.71552071,Unlikely,Yes,3,7,Mobile,2023-06-23 7:22:00,Not Charging,Not Scam
563778,38,17,0,Suspicious,Yes,3,7,Telegram,2023-01-01 8:52:00,Fully Charged,Not Scam
854723,-273,15,2.777059824,Unlikely,Yes,0,7,Mobile,2023-03-30 1:22:00,Charging,Not Scam
157064,648,7,,Unlikely,No,2,65,Voip,2023-02-27 2:37:00,Not Charging,Not Scam
329887,-658,19,,Unlikely,Yes,4,MM,Telegram,2023-11-26 10:02:00,Not Charging,Not Scam
